abandon,…を捨てる
ability,能力
abolish,…を廃止する
abolition,廃止
abortion,中絶
abroad,外国に
abruptly,突然
absolutely,絶対的に
absorb,…を吸収する
absurd,ばかげた
abundant,豊富な
abuse,濫用
academic,学問の
accept,…を受け入れる
access,アクセス
accommodate,…を収容する
accompany,…に付き添う
accord,合意
account,説明
accountant,会計士
accurate,正確な
accuse,…を非難する
accused （the ～）,被告人
accustomed,慣れている
ache,痛み
achieve,…を達成する
acknowledge,…を認める
acquire,…を取得する
act,制定法，行為
action,行動
active,活動的な
activity,活動
actor,俳優
actual,実際の
add,…を足す
addict,中毒者
address ,住所
address ,…に話しかける
adequate,十分な
adjust,適応する
administration,経営，政権
admiral,海軍司令官
admire,…を素晴らしいと思う
admit,…を認める
adolescence,思春期
adopt,…を採用する［養子にする］
adult,大人
advance,前進する
advantage,有利
advantageous,有利な
adventure,冒険
adversely,悪く
advice,忠告
advise,…に勧める
affair,問題，情事
affect,…に影響を与える
affluent,豊かな
afford,…の余裕がある
afterward,後になって
agent,諜報部員
ages,長い時間
aggressive,強引な
agony,苦痛
agree,同意する
ahead,前方に
aid,援助
aide,補佐官
aim,目標
alert,機敏な
alike,同様に
alive,生きている
alleged,称されている
allergy,アレルギー
alley,路地
allow,…を許す
allowance,小遣い
alone,一人で
alter,…を変える
alternative,代替の
although,…だが
altitude,高度
amazed,びっくりした
ambassador,大使
ambiguous,曖昧な
ambition,大望
ambitious,野心的な
amiable,愛想の良い
amount,量
ample,十分な
amply,十分に
amuse,…を楽しませる
analyze,…を分析する
ancient,古代の
anger,怒り
anniversary,記念日
announce,…を発表する
annoyance,いらだち
annual,年１回の
anonymous,匿名の
another,あと…
Antarctic,南極の
anticipate,…を予期する
anxiety,心配
anxious,切望している，心配している
anybody,いかなる人
anyway,とにかく
apart,離れて
apartment,アパート
apologize,謝罪する
apparatus,器具
apparently,どうやら
appear,…のようだ
appetite,食欲
applaud,拍手をする
apply,申し込む
appoint,…を任命する
appointment,予約，任命
appreciate,…に感謝する
approach ,…に近づく
approach ,対処法
appropriate,適切な
approve,良いと認める
approximately,およそ
architecture,建築
area,地域
argue,主張する
arise,生じる
aristocrat,貴族
arithmetic,算数
armed,武装した
around,約…
arouse,…をかき立てる
arrange,手配する
arrangement,配置
arrest,…を逮捕する
arrival,到着
arrogance,傲慢さ
arrogant,傲慢な
article,記事
artificial,人工的な
artistic,芸術的な
as ,…なので，…と同時に，…のように
as,…として，…の頃
ascend,登る
ashamed,恥じている
Asian,アジアの
asleep,眠っている
aspect,面
assault,暴行
assemble,…を組み立てる
assembly,集まり
assert,…だと主張する
assess,…を評価する
assign,…を割り当てる
assignment,仕事
assistance,援助
assistant,助手
associate,同僚
assumption,想定
assure,…を確約する
asteroid,小惑星
astonish,…をびっくりさせる
astonishing,びっくりな
astronaut,宇宙飛行士
astronomer,天文学者
athletic,運動競技の
atmosphere,大気，雰囲気
attach,…を添付する
attack,攻撃
attain,…を達成する
attempt,試み
attend,…に出席する
attention,注意
attire,服装
attorney,弁護士
attract,…を引き寄せる
attractive,魅力的な
audience,聴衆
authority,権威，当局
autobiography,自伝
autumn,秋
available,手に入る
average,平均
avoid,…を避ける
award ,賞
award ,…を授与する
aware,気づいている
awful,ひどい
awfully,ひどく
awkward,不器用な
back ,背中
background,背景
badly,悪く
baggage,荷物
bald,禿げた
ban,…を禁止する
banish,…を国外に追放する
bankrupt,倒産した
banquet,晩餐会
bar ,…の行為を妨げる
barely,かろうじて
bargain,交渉をする
barren,不毛の
base,基地
basic,基本的な
basis,基礎
battery,電池
battle,戦い
battleship,戦艦
bead,玉
beam,微笑む
bear ,…を負う
beat,繰り返し打つ
beauty,美点
beer,ビール
before ,以前に
beg,懇願する
behave,振る舞う
behavior,振る舞い
belief,信じること
below,…より下に
bend,…を曲げる
beneath,…より下に
beneficial,有益な
benefit,給付
beside,…の隣に
besides,…に加え
best man （the ～）,花婿の付添人
betray,…を裏切る
beyond,…を越えて
Big Apple (the ～ ),ニューヨーク
bike,自転車
bill,法案
billion,10億
billionaire,億万長者
biological,生物学の
biology,生物学
birth,誕生
bit,少額
bitterly,ひどく
black,黒人の
blame,…を非難する
blank,空欄
bleak,見通しが暗い
blind,盲目の
blood,血
blunder,へま
blunt,無遠慮な
bluntly,あからさまに
board,重役グループ
boast,自慢する
body,団体
bold,大胆な
bomb,爆弾
bomber,爆撃機
book ,…を予約する
books,帳簿
border,国境
bored,退屈している
boring,退屈な
borrow,…を借りる
boss,上司
botanical,植物学の
both,両方（の）
bottle,瓶
bottom,底
bow,お辞儀をする
boyfriend,恋人
brain,脳
brand-new,新品の
brave,勇敢な
breast,胸
breath,息
bribe,賄賂
bride,花嫁
bridesmaid,花婿の付添人
brightly,明るく
brilliant,素晴らしい
British,英国（人）の
broadcast,…を放送する
bronze,青銅
buck,ドル
budget,予算
bug,虫
build,…を建設する
building,建物
bullet,弾丸
bully,…をいじめる
bump,ぶつかる
bunch,束
burden,重荷
bureaucrat,官僚
burglar,強盗
burn,…を燃やす
burst,破裂する
bury,…を埋める
bush,低木
business,商売
but,ただの…
but （前置詞）,…を除き
,
,
cab,タクシー
cabinet,内閣
calamity,災害
calculation,計算
calm,穏やかな
campaign,（政治・社会的）運動
can ,缶
can't,…のはずがない
cancel,…を取り消す
cancer,ガン
candid,率直な
candidate,候補者
capable,能力がある
capital,首都
capitalism,資本主義
captain,船長
capture,…を捉える
care,世話
career,経歴
careless,不注意な
cargo,貨物
case,場合
cash,現金
castle,城
casual,気軽な
catastrophe,大惨事
cathedral,大聖堂
Catholic,カトリック教徒
cause ,原因
cause ,…をもたらす
caution,…に注意する
cautious,注意深い
cease,…をやめる
celebrate,…を祝う
celebrity,有名人
cell,細胞
Celsius,摂氏
central,中央の
CEO,最高経営責任者
ceremony,儀式
certain,某，確信している
challenging,やりがいはあるが困難な
chaos,混乱
chapel,礼拝堂
chapter,章
characteristic,特徴
charge ,料金
charge ,…を課す，…を告訴する
charity,慈善基金
chase,…を追う
chatter,おしゃべりをする
chatterbox,おしゃべり人間
cheat,不正をする
check,調べる
check,小切手
checkout,精算カウンター
cheerfully,陽気に
chemical,化学的な
chemist,化学者
chemistry,化学
cherish,…を大切にする
chest,胸
chief,（組織の）長
childhood,子供時代
childish,子供っぽい
china,陶磁器
Chinese,中国人の
chirp,鳴く
choice,選択
choir,聖歌隊
choose,…を選ぶ
chore,雑用
Christian,キリスト教徒
chronic,慢性の
chuckle,くすくすと笑う
cigarette,たばこ
circulate,…を広める
circumstance,状況
citizen,市民
civilization,文明
claim,…だと主張する
clash,衝突する
cleaning,掃除
clear ,…にある邪魔なものを取り除く
clearly,明らかに
clergyman,聖職者
clerk,事務員
client,顧客
cliff,崖
climate,気候
cling,しがみつく
close ,接近した
close ,…を閉じる
clothes,服
clue,手がかり
clumsy,不器用な
coarse,粗暴な
coast,沿岸
coherent,首尾一貫した
coincide,一致する
collapse,崩壊
collar,襟
collection,収集
college,大学
collision,衝突
colonel,大佐
colonial,植民地の
colored,色の付いた
column,円柱
comet,彗星
comfortable,快適な
command ,命令，運用能力
command ,命令する
comment,コメントをする
commerce,通商
common sense,常識的な判断力
commit,（罪を）犯す
committee,委員会
commodity,商品
common,共通の
communicate,意思を伝える
communism,共産主義
communist,共産主義の
community,社会集団
company,会社
compare,…を比較・対比する
comparison,比較・対比
compartment,仕切られたスペース
compensate,埋め合わせをする
compete,競争する
competent,有能な
competition,競争
competitive,競争力がある
complain,不満を言う
complaint,不満，苦情
complete,…を完成する
completely,完全に
complex,複雑な
complicated,複雑な
comprehension,理解（力）
compromise,妥協
compulsory,義務的な
conceal,…を隠す
conceit,うぬぼれ
concentrate,集中する
concept,概念
concerned,懸念した
concerning,…に関して
concession,妥協
concise,簡潔である
conclusion,結論
concrete,具体的な
condemn,…を激しく非難する
condition,条件，状況
condo,マンション
conduct ,行為
conduct ,…を行う
conference,会議
confess,…を告白する
confide,…を打ち明ける
confident,自信がある
confine,…を閉じ込める
confirm,…を確認する
conflict,対立
conform,合わせる
confront,…に立ちはだかる
confuse,…を混同する
congratulation,祝い
Congress,議会
conquer,…を征服する
conscience,良心
conscious,意識している
consciousness,意識
consent,同意する
consequence,結果
consequently,結果的に
conservation,保護
conservative,保守的な
conserve,…を節約する
consider,…を見なす，…を考慮する
considerable,かなりの
considerate,思いやりがある
consist,成り立つ
consistent,首尾一貫した
console,…を慰める
conspicuous,目立っている
conspiracy,共謀
constantly,絶えず
constitution,憲法
construction,建設
consult,…に相談する
consultant,コンサルタント
consume,…を消費する
consumption,消費
contact ,…に連絡をする
contain,…を含む
contaminate,…を汚染する
contemplate,…をじっくり考える
contemporary,現代の
contempt,軽蔑
contend,対決する
content ,満足している
content ,中身
context,前後関係
continue,…を続ける
contract,契約
contradictory,矛盾した
contrary,正反対の
contrast,対照
contribution,寄付
controversy,論議
convenient,都合の良い
conventional,従来の
conversational,会話の
convey,…を伝える
convince,…を納得させる
cooperate/co-operate,協力をする
corporate,会社の
corporation,会社
correct ,正しい
correct ,…を正す
correspond,一致する
corrupt,汚職を働く
cost ,（費用が）かかる
cost ,費用
costly,費用が高くつく
couch,長いす
could,…できるであろう，…する可能性がある
council,評議会
counselor,カウンセラー
count,価値がある
counterpart,同じ機能［立場］のもの
countryside (the ～),田舎
couple,夫婦，カップル
courageous,気丈な
court,裁判所
